year,marathon,country,finishers,mean_time
2007,Bayshore Marathon,US,1294,248.07
2008,Bayshore Marathon,US,1263,247.47
2009,Bayshore Marathon,US,1385,248.42
2010,Bayshore Marathon,US,1501,252.72
2011,Bayshore Marathon,US,1464,251.06
2012,Bayshore Marathon,US,1793,254.6
2013,Bayshore Marathon,US,1948,250.74
2013,"Bear Brook Trail
  Marathon",US,168,355.68
2009,"Bear Lake Idaho
  Marathon",US,32,316.3
2010,"Bear Lake Idaho
  Marathon",US,73,306.63
2011,"Bear Lake Idaho
  Marathon",US,78,300.29
2012,"Bear Lake Idaho
  Marathon",US,196,320.82
2013,"Bear Lake Idaho
  Marathon",US,51,307.63
2008,Bear Lake Marathon,US,92,285.46
2009,Bear Lake Marathon,US,92,288.26
2010,Bear Lake Marathon,US,218,302.91
2011,Bear Lake Marathon,US,119,307.28
2012,Bear Lake Marathon,US,119,305.08
2013,Bear Lake Marathon,US,156,311.07
2011,Bearfest,US,13,288.81
2012,Bearfest,US,18,260.45
2013,Bearfest,US,15,331.77
2009,"Beaver Island
  Marathon",US,81,270.64
2010,"Beaver Island
  Marathon",US,48,269.37
2011,"Beaver Island
  Marathon",US,59,260.67
2012,Beijing Marathon,China,6167,271.69
2001,Belfast City Marathon,Ireland,825,253.99
2002,Belfast City Marathon,Ireland,1074,245.53
2004,Belfast City Marathon,Ireland,1176,247.8
2005,Belfast City Marathon,Ireland,1418,267.01
2006,Belfast City Marathon,Ireland,1342,248.92
2007,Belfast City Marathon,Ireland,1431,255.48
2008,Belfast City Marathon,Ireland,1466,252.76
2009,Belfast City Marathon,Ireland,2026,256.07
2010,Belfast City Marathon,Ireland,2584,259.67
2011,Belfast City Marathon,Ireland,2822,264.55
2012,Belfast City Marathon,Ireland,2918,256.43
2013,Belfast City Marathon,Ireland,2458,266.08
2011,"Bellevue Ghost
  Marathon",US,32,291.65
2012,"Bellevue Ghost
  Marathon",US,20,331.1
2010,"Bellingham Bay
  Marathon",US,401,268.23
2011,"Bellingham Bay
  Marathon",US,443,269.79
2012,"Bellingham Bay
  Marathon",US,425,259.39
2013,"Bellingham Bay
  Marathon",US,373,264.05
2007,"Bellingham Bay
  Marathon, Half Marathon & 10k",US,379,274.74
2008,"Bellingham Bay
  Marathon, Half Marathon & 10k",US,269,272.19
2009,"Bellingham Bay
  Marathon, Half Marathon & 10k",US,258,255.34
2010,"Bellingham Bay
  Marathon, Half Marathon & 10k",US,401,268.23
2013,"Bemidji Blue Ox
  Marathon",US,184,248.26
2011,Bend Marathon,US,79,284.28
2001,"Bendistillery 'It
  Goes Down Easy' Marathon",US,152,256.82
2002,"Bendistillery 'It
  Goes Down Easy' Marathon",US,181,246.75
1974,Berlin Marathon,Germany,244,250.88
1975,Berlin Marathon,Germany,233,245.59
1976,Berlin Marathon,Germany,311,219.63
1977,Berlin Marathon,Germany,228,206.38
1979,Berlin Marathon,Germany,222,209.74
1981,Berlin Marathon,Germany,2546,226.28
1982,Berlin Marathon,Germany,3447,231.22
1983,Berlin Marathon,Germany,4840,219.68
1984,Berlin Marathon,Germany,7293,212.55
1985,Berlin Marathon,Germany,9806,212.34
1993,Berlin Marathon,Germany,14102,223.01
1996,Berlin Marathon,Germany,15931,221.12
1997,Berlin Marathon,Germany,14982,229.22
1998,Berlin Marathon,Germany,20976,237.64
1999,Berlin Marathon,Germany,19128,235.22
2000,Berlin Marathon,Germany,22879,247.51
2001,Berlin Marathon,Germany,25792,240.69
2002,Berlin Marathon,Germany,25286,240.98
2003,Berlin Marathon,Germany,30709,245.5
2004,Berlin Marathon,Germany,28022,243.34
2005,Berlin Marathon,Germany,30377,249.15
2006,Berlin Marathon,Germany,30182,256.2
2007,Berlin Marathon,Germany,32486,246.92
2008,Berlin Marathon,Germany,35731,247.02
2009,Berlin Marathon,Germany,35015,252.83
2010,Berlin Marathon,Germany,34001,245.78
2011,Berlin Marathon,Germany,32915,249.96
2012,Berlin Marathon,Germany,34375,246.5
2013,Berlin Marathon,Germany,36543,245.31
2002,Bermuda Marathon,Bermuda,352,333.9
2003,Bermuda Marathon,Bermuda,214,320.73
2004,Bermuda Marathon,Bermuda,379,325.9
2005,Bermuda Marathon,Bermuda,179,323.83
2006,Bermuda Marathon,Canada,81,263.12
2007,Bermuda Marathon,Canada,51,223.65
2008,Bermuda Marathon,Canada,79,268.17
2009,Bermuda Marathon,Canada,76,264.1
2010,Bermuda Marathon,Canada,200,263.34
2011,Bermuda Marathon,Canada,115,268.69
2012,Bermuda Marathon,Canada,110,261.11
2013,Bermuda Marathon,Canada,142,259.83
2006,Berryman Marathon,US,87,362.74
2007,Berryman Marathon,US,84,357.11
2008,Berryman Marathon,US,109,358.43
2009,Berryman Marathon,US,67,358.23
2010,Berryman Marathon,US,154,349.24
2011,Berryman Marathon,US,76,357.03
2012,Berryman Marathon,US,57,357.68
2013,Berryman Marathon,US,64,363.79
2002,"Big Basin Redwoods
  Trail Marathon",US,38,261.27
2003,"Big Basin Redwoods
  Trail Marathon",US,26,266.6
2008,Big Bear Marathon,US,267,292.75
2009,Big Bear Marathon,US,197,289.29
2012,"Big Cottonwood
  Marathon & Half",US,273,254.38
2013,"Big Cottonwood
  Marathon & Half",US,1293,252.98
2013,Big Elk Marathon,US,50,331.5
2002,"Big Island
  International Marathon",US,45,266.85
2003,"Big Island
  International Marathon",US,107,262.11
2004,"Big Island
  International Marathon",US,191,275.7
2005,"Big Island
  International Marathon",US,151,275.64
2006,"Big Island
  International Marathon",US,147,280.32
2007,"Big Island
  International Marathon",US,208,276.53
2008,"Big Island
  International Marathon",US,231,272.16
2009,"Big Island
  International Marathon",US,192,278.47
2010,"Big Island
  International Marathon",US,390,272.54
