number,first,last
8090,8,0
99000,9,0
99000,9,0
362,3,2
20380,2,0
862,8,2
350,3,0
437,4,7
7799,7,9
10692,1,2
19449,1,9
4496,4,6
88080,8,0
3827,3,7
8700,8,0
74120,7,0
43151,4,1
66000,6,0
3685,3,5
3000,3,0
42925,4,5
35060,3,0
2770,2,0
37000,3,0
55200,5,0
13394,1,4
13623,1,3
2200,2,0
11791,1,1
34319,3,9
362,3,2
67500,6,0
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
31500,3,0
89000,8,0
3897,3,7
5572,5,2
27978,2,8
437,4,7
13535,1,5
1.114,1,4
374,3,4
58400,5,0
695,6,5
362,3,2
362,3,2
362,3,2
362,3,2
662,6,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
380,3,0
680,6,0
1540,1,0
1540,1,0
1.54747,1,7
362,3,2
1995,1,5
4567,4,7
2.47356,2,6
16750,1,0
14400,1,0
4850,4,0
357,3,7
7360,7,0
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
1.7,1,7
23402,2,2
1.4433999999999998,1,4
24777,2,7
55066,5,6
21824,2,4
1.1223100000000001,1,1
2.4188199999999997,2,2
11049,1,9
1.842,1,2
17,1,7
1.03505,1,5
1.47607,1,7
1.2152999999999998,1,3
40748,4,8
5698,5,8
2.364,2,4
1.1,1,1
7200,7,0
48720,4,0
2780,2,0
47033,4,3
69200,6,0
3.6929499999999997,3,5
2200,2,0
293,2,3
8470,8,0
19341,1,1
52478,5,8
41758,4,8
1500,1,0
26000,2,0
52500,5,0
2070,2,0
2895,2,5
2500,2,0
12571,1,1
442,4,2
34500,3,0
52500,5,0
70000,7,0
59813,5,3
6997,6,7
49018,4,8
9585,9,5
8330,8,0
52400,5,0
6999,6,9
17500,1,0
17500,1,0
17500,1,0
26000,2,0
26000,2,0
26000,2,0
26000,2,0
26000,2,0
29500,2,0
52500,5,0
52500,5,0
70000,7,0
42000,4,0
15500,1,0
27358,2,8
52500,5,0
27500,2,0
22668,2,8
47700,4,0
22900,2,0
13073,1,3
58268,5,8
26000,2,0
27500,2,0
3000,3,0
54900,5,0
90000,9,0
1300,1,0
5999,5,9
9996,9,6
74450,7,0
32850,3,0
4797,4,7
4797,4,7
41620,4,0
20604,2,4
699,6,9
66500,6,0
1.395,1,5
15290,1,0
1.053,1,3
27600,2,0
10500,1,0
17998,1,8
6141,6,1
17500,1,0
2994,2,4
9700,9,0
5134,5,4
20992,2,2
21093,2,3
29048,2,8
62803,6,3
9265,9,5
3500,3,0
11500,1,0
17500,1,0
17500,1,0
35000,3,0
38000,3,0
19400,1,0
2.4248,2,8
3399,3,9
27795,2,5
34349,3,9
98069,9,9
1.6400000000000001,1,4
2196,2,6
2.3049999999999997,2,5
12254,1,4
12680,1,0
7927,7,7
49998,4,8
49999,4,9
50000,5,0
22370,2,0
13800,1,0
1250,1,0
1.9429999999999998,1,3
2.16,2,6
16900,1,0
85679,8,9
10600,1,0
7200,7,0
1.355,1,5
1.4213699999999998,1,7
636,6,6
882,8,2
2596,2,6
1440,1,0
16810,1,0
58600,5,0
2395,2,5
35000,3,0
35000,3,0
35000,3,0
35000,3,0
35000,3,0
35000,3,0
1.782,1,2
1039,1,9
3699,3,9
1900,1,0
8900,8,0
16340,1,0
12500,1,0
16895,1,5
28900,2,0
2850,2,0
1980,1,0
12600,1,0
12779,1,9
2845,2,5
28243,2,3
17252,1,2
1.1437,1,7
22222,2,2
47650,4,0
20512,2,2
33108,3,8
5695,5,5
1.7171899999999998,1,9
6838,6,8
78048,7,8
1445,1,5
16528,1,8
6419,6,9
5375,5,5
3666,3,6
4145,4,5
9000,9,0
7000,7,0
45500,4,0
77500,7,0
20700,2,0
1995,1,5
1995,1,5
84050,8,0
8394,8,4
79900,7,0
34190,3,0
59814,5,4
44197,4,7
26685,2,5
67441,6,1
555,5,5
49987,4,7
2.0911,2,1
1.10118,1,8
60000,6,0
43500,4,0
7870,7,0
4861,4,1
5374,5,4
38000,3,0
28064,2,4
52195,5,5
30415,3,5
35000,3,0
20855,2,5
2.06,2,6
12585,1,5
47930,4,0
1,1,1
26470,2,0
12971,1,1
22355,2,5
23784,2,4
7809,7,9
62500,6,0
99000,9,0
18300,1,0
5760,5,0
875,8,5
19002,1,2
1678,1,8
98657,9,7
39816,3,6
74760,7,0
7300,7,0
80000,8,0
30004,3,4
46785,4,5
1.0179399999999998,1,4
35041,3,1
61880,6,0
57245,5,5
64500,6,0
5394,5,4
8094,8,4
7862,7,2
28500,2,0
13866,1,6
89000,8,0
4407,4,7
59700,5,0
2587,2,7
12887,1,7
15130,1,0
9915,9,5
1.0449199999999998,1,2
5598,5,8
3451,3,1
62637,6,7
9980,9,0
6028,6,8
11600,1,0
1.9,1,9
2.387,2,7
5489,5,9
15371,1,1
4700,4,0
23000,2,0
2100,2,0
1.5276599999999998,1,6
1.8875,1,5
1975,1,5
7823,7,3
65360,6,0
422,4,2
10990,1,0
11000,1,0
