country,city,location,number,first,last
US,Blaine,"Washington, Whatcom",5311,5,1
US,Port Hadlock-Irondale,"Washington, Jefferson",3765,3,5
US,Burley,"Washington, Kitsap",1941,1,1
US,Mount Vernon,"Washington, Skagit",69528,6,8
US,Electric City,"Washington, Grant",1001,1,1
US,Ronald,"Washington, Kittitas",284,2,4
US,Nespelem Community,"Washington, Okanogan",259,2,9
US,Amanda Park,"Washington, Grays Harbor",119,1,9
US,Clarkston Heights-Vineland,"Washington, Asotin",6453,6,3
US,Boulevard Park,"Washington, King",3916,3,6
US,Big Lake,"Washington, Skagit",1784,1,4
US,Boyds,"Washington, Ferry",76,7,6
US,Parkwood,"Washington, Kitsap",6559,6,9
US,Deer Park,"Washington, Spokane",3868,3,8
US,Humptulips,"Washington, Grays Harbor",277,2,7
US,SeaTac,"Washington, King",29140,2,0
US,Maple Valley,"Washington, King",25758,2,8
US,Millwood,"Washington, Spokane",1784,1,4
US,Point Roberts,"Washington, Whatcom",1251,1,1
US,Dixie,"Washington, Walla Walla",256,2,6
US,East Port Orchard,"Washington, Kitsap",5334,5,4
US,Morton,"Washington, Lewis",1159,1,9
US,Alger,"Washington, Skagit",235,2,5
US,Kahlotus,"Washington, Franklin",199,1,9
US,Fife Heights,"Washington, Pierce",2185,2,5
US,Cherry Grove,"Washington, Clark",689,6,9
US,Clearview,"Washington, Snohomish",3907,3,7
US,Greenwater,"Washington, Pierce",28,2,8
US,Picnic Point,"Washington, Snohomish",9002,9,2
US,Kendall,"Washington, Whatcom",37,3,7
US,Seabeck,"Washington, Kitsap",1141,1,1
US,Startup,"Washington, Snohomish",683,6,3
US,Steilacoom,"Washington, Pierce",6337,6,7
US,Lamont,"Washington, Whitman",74,7,4
US,Bay View,"Washington, Skagit",625,6,5
US,Valley,"Washington, Stevens",171,1,1
US,North Marysville,"Washington, Snohomish",172,1,2
US,Brady,"Washington, Grays Harbor",360,3,0
US,May Creek,"Washington, Snohomish",663,6,3
US,Clear Lake,"Washington, Skagit",990,9,0
US,Keller,"Washington, Ferry",228,2,8
US,Redmond,"Washington, King",64291,6,1
US,Ilwaco,"Washington, Pacific",945,9,5
US,Mountlake Terrace,"Washington, Snohomish",21337,2,7
US,Parker,"Washington, Yakima",60,6,0
US,Soap Lake,"Washington, Grant",1579,1,9
US,Grand Mound,"Washington, Thurston",3119,3,9
US,Manchester,"Washington, Kitsap",5447,5,7
US,Prairie Heights,"Washington, Pierce",4610,4,0
US,Verlot,"Washington, Snohomish",457,4,7
US,North Omak,"Washington, Okanogan",685,6,5
US,Naches,"Washington, Yakima",827,8,7
US,Summitview,"Washington, Yakima",1182,1,2
US,Clover Creek,"Washington, Pierce",6831,6,1
