city,location,number,first,last
Picnic Point,"Washington, Snohomish",9002,9,2
Kendall,"Washington, Whatcom",37,3,7
Seabeck,"Washington, Kitsap",1141,1,1
Startup,"Washington, Snohomish",683,6,3
Steilacoom,"Washington, Pierce",6337,6,7
Lamont,"Washington, Whitman",74,7,4
Bay View,"Washington, Skagit",625,6,5
Valley,"Washington, Stevens",171,1,1
North Marysville,"Washington, Snohomish",172,1,2
Brady,"Washington, Grays Harbor",360,3,0
May Creek,"Washington, Snohomish",663,6,3
Clear Lake,"Washington, Skagit",990,9,0
Keller,"Washington, Ferry",228,2,8
Redmond,"Washington, King",64291,6,1
Ilwaco,"Washington, Pacific",945,9,5
Mountlake Terrace,"Washington, Snohomish",21337,2,7
Parker,"Washington, Yakima",60,6,0
Soap Lake,"Washington, Grant",1579,1,9
Grand Mound,"Washington, Thurston",3119,3,9
Manchester,"Washington, Kitsap",5447,5,7
Prairie Heights,"Washington, Pierce",4610,4,0
Verlot,"Washington, Snohomish",457,4,7
North Omak,"Washington, Okanogan",685,6,5
Naches,"Washington, Yakima",827,8,7
Summitview,"Washington, Yakima",1182,1,2
Clover Creek,"Washington, Pierce",6831,6,1
Prosser,"Washington, Benton",6264,6,4
Naselle,"Washington, Pacific",376,3,6
Rock Island,"Washington, Douglas",1015,1,5
Goldendale,"Washington, Klickitat",3404,3,4
Maltby,"Washington, Snohomish",11443,1,3
Oak Harbor,"Washington, Island",34663,3,3
Tanglewilde,"Washington, Thurston",6205,6,5
Endicott,"Washington, Whitman",305,3,5
Mill Creek East,"Washington, Snohomish",20514,2,4
Maple Heights-Lake Desire,"Washington, King",3442,3,2
Midland,"Washington, Pierce",8792,8,2
Kingston,"Washington, Kitsap",1875,1,5
Esperance,"Washington, Snohomish",3902,3,2
Grays River,"Washington, Wahkiakum",425,4,5
Sultan,"Washington, Snohomish",8803,8,3
La Grande,"Washington, Pierce",118,1,8
Ritzville,"Washington, Adams",1637,1,7
Malott,"Washington, Okanogan",592,5,2
Coulee City,"Washington, Grant",567,5,7
Raymond,"Washington, Pacific",4136,4,6
Wollochet,"Washington, Pierce",6291,6,1
Quincy,"Washington, Grant",7756,7,6
Walla Walla East,"Washington, Walla Walla",1877,1,7
Hamilton,"Washington, Skagit",309,3,9
Woodinville,"Washington, King",11997,1,7
Bay Center,"Washington, Pacific",215,2,5
Port Townsend,"Washington, Jefferson",8804,8,4
Riverside,"Washington, Okanogan",273,2,3
Woodway,"Washington, Snohomish",1378,1,8
Qui-nai-elt Village,"Washington, Grays Harbor",79,7,9
Stevenson,"Washington, Skamania",1555,1,5
Ocean Park,"Washington, Pacific",1782,1,2
Port Angeles,"Washington, Clallam",23865,2,5
Bonney Lake,"Washington, Pierce",20675,2,5
Oroville,"Washington, Okanogan",1674,1,4
Garrett,"Washington, Walla Walla",1531,1,1
Otis Orchards-East Farms,"Washington, Spokane",6385,6,5
Warm Beach,"Washington, Snohomish",2495,2,5
Twin Lakes,"Washington, Ferry",100,1,0
Conway,"Washington, Skagit",11,1,1
College Place,"Washington, Walla Walla",9258,9,8
Eastmont,"Washington, Snohomish",21951,2,1
Maple Falls,"Washington, Whatcom",76,7,6
Ephrata,"Washington, Grant",7275,7,5
Buena,"Washington, Yakima",1345,1,5
Tumwater,"Washington, Thurston",22973,2,3
Desert Aire,"Washington, Grant",2872,2,2
Lake Holm,"Washington, King",3263,3,3
Mukilteo,"Washington, Snohomish",21469,2,9
