agedays,sex,mean,sd,cv,l
554,Female,80.9133,2.9144970660000005,0.03602,1
555,Female,80.9467,2.916509601,0.03603,1
556,Female,80.9801,2.9185228039999997,0.03604,1
557,Female,81.0135,2.9205366749999997,0.03605,1
558,Female,81.0468,2.92173714,0.03605,1
559,Female,81.0802,2.9237520120000005,0.03606,1
560,Female,81.1134,2.925760338,0.03607,1
561,Female,81.1467,2.9277729359999998,0.03608,1
562,Female,81.1799,2.9289707920000003,0.03608,1
563,Female,81.2131,2.9309807789999995,0.03609,1
564,Female,81.2463,2.9329914300000004,0.0361,1
565,Female,81.2795,2.9350027450000002,0.03611,1
566,Female,81.3126,2.9361979860000003,0.03611,1
567,Female,81.3457,2.938206684,0.03612,1
568,Female,81.3788,2.940216044,0.03613,1
569,Female,81.4118,2.941408334,0.03613,1
570,Female,81.4448,2.943415072,0.03614,1
571,Female,81.4778,2.94542247,0.03615,1
572,Female,81.5108,2.947430528,0.03616,1
573,Female,81.5437,2.948620192,0.03616,1
574,Female,81.5766,2.950625622,0.03617,1
575,Female,81.6095,2.9526317099999995,0.03618,1
